EntFile_src,EntLine_src,EntName_src,EntKind_src,EntType_src,EntID_src,RefFile,RefLine,RefKind,RefType,EntFile_target,EntLine_target,EntName_target,EntKind_target,EntType_target,EntID_target,Is_Infringed,is37
/home/ks-turtle/Desktop/src/java/awt/image/ImageFilter.java,28,java.awt.image.ImageFilter,Type,Java Class Type Public Member,93590,/home/ks-turtle/Desktop/src/java/awt/image/ImageFilter.java,28,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/awt/image/ImageConsumer.java,23,java.awt.image.ImageConsumer,Type,Java Interface Type Public,4672,no-match,0
/home/ks-turtle/Desktop/src/java/awt/image/ImageFilter.java,28,java.awt.image.ImageFilter,Type,Java Class Type Public Member,93590,/home/ks-turtle/Desktop/src/java/awt/image/ImageFilter.java,28,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/lang/Cloneable.java,36,java.lang.Cloneable,Type,Java Interface Type Public,1426,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/text/html/AccessibleHTML.java,27,javax.swing.text.html.AccessibleHTML,Type,Java Class Type Default Member,93834,/home/ks-turtle/Desktop/src/javax/swing/text/html/AccessibleHTML.java,27,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/accessibility/Accessible.java,22,javax.accessibility.Accessible,Type,Java Interface Type Public,1803,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/text/html/AccessibleHTML.java,280,javax.swing.text.html.AccessibleHTML.HTMLAccessibleContext,Type,Java Abstract Class Type Protected Member,93919,/home/ks-turtle/Desktop/src/javax/swing/text/html/AccessibleHTML.java,281,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/accessibility/Accessible.java,22,javax.accessibility.Accessible,Type,Java Interface Type Public,1803,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/text/html/AccessibleHTML.java,280,javax.swing.text.html.AccessibleHTML.HTMLAccessibleContext,Type,Java Abstract Class Type Protected Member,93919,/home/ks-turtle/Desktop/src/javax/swing/text/html/AccessibleHTML.java,281,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/accessibility/AccessibleComponent.java,34,javax.accessibility.AccessibleComponent,Type,Java Interface Type Public,24233,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/text/html/AccessibleHTML.java,1265,javax.swing.text.html.AccessibleHTML.IconElementInfo.IconAccessibleContext,Type,Java Class Type Protected Member,93997,/home/ks-turtle/Desktop/src/javax/swing/text/html/AccessibleHTML.java,1266,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/accessibility/AccessibleIcon.java,28,javax.accessibility.AccessibleIcon,Type,Java Interface Type Public,14111,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/text/html/AccessibleHTML.java,1563,javax.swing.text.html.AccessibleHTML.TableElementInfo.TableAccessibleContext,Type,Java Class Type Public Member,94034,/home/ks-turtle/Desktop/src/javax/swing/text/html/AccessibleHTML.java,1564,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/accessibility/AccessibleTable.java,17,javax.accessibility.AccessibleTable,Type,Java Interface Type Public,24236,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/text/html/AccessibleHTML.java,2115,javax.swing.text.html.AccessibleHTML.TableElementInfo.TableAccessibleContext.AccessibleHeadersTable,Type,Java Class Type Protected Member,94035,/home/ks-turtle/Desktop/src/javax/swing/text/html/AccessibleHTML.java,2115,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/accessibility/AccessibleTable.java,17,javax.accessibility.AccessibleTable,Type,Java Interface Type Public,24236,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/text/html/AccessibleHTML.java,804,javax.swing.text.html.AccessibleHTML.TextElementInfo,Type,Java Class Type Default Member,94298,/home/ks-turtle/Desktop/src/javax/swing/text/html/AccessibleHTML.java,804,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/accessibility/Accessible.java,22,javax.accessibility.Accessible,Type,Java Interface Type Public,1803,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/text/html/AccessibleHTML.java,823,javax.swing.text.html.AccessibleHTML.TextElementInfo.TextAccessibleContext,Type,Java Class Type Public Member,94299,/home/ks-turtle/Desktop/src/javax/swing/text/html/AccessibleHTML.java,824,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/accessibility/AccessibleText.java,35,javax.accessibility.AccessibleText,Type,Java Interface Type Public,24237,no-match,0
